,index,Netflix,Hulu,Prime Video,Disney+,title,budget,company,country,director,genre,rating,score,star,votes,writer,original_language,popularity,revenue,runtime,release_year,release_month,release_day,class,score_prediction
0,0,1.0,0.0,0.0,0.0,Inception,160000000.0,Warner Bros.,USA,Other,Action,PG-13,8.8,Other,1643094,Other,en,167.6,825532764,148.0,2010,7,16,0,6.7
1,1,1.0,0.0,0.0,0.0,The Matrix,63000000.0,Warner Bros.,USA,Other,Action,R,8.7,Other,1348727,Other,en,104.3,463517383,136.0,1999,3,31,1,6.6
2,2,1.0,0.0,1.0,0.0,The Pianist,35000000.0,Other,France,Other,Biography,R,8.5,Other,560313,Other,en,50.6,120072577,150.0,2003,3,28,1,7.6
3,3,1.0,0.0,0.0,0.0,Django Unchained,100000000.0,Other,USA,Other,Drama,R,8.4,Other,1080790,Quentin Tarantino,en,82.1,425368238,165.0,2012,12,25,0,7.3
4,4,1.0,0.0,0.0,0.0,Inglourious Basterds,75000000.0,Universal Pictures,USA,Other,Adventure,R,8.3,Other,995116,Quentin Tarantino,en,72.6,319131050,153.0,2009,8,21,1,6.2
5,5,1.0,0.0,0.0,0.0,Pan's Labyrinth,19000000.0,Other,Spain,Other,Drama,R,8.2,Other,514693,Other,Other,90.8,83258226,118.0,2007,1,19,0,6.5
6,6,1.0,0.0,0.0,0.0,Indiana Jones and the Last Crusade,48000000.0,Paramount Pictures,USA,Steven Spielberg,Action,PG-13,8.3,Other,569584,Other,en,81.0,474171806,127.0,1989,5,24,0,6.1
7,7,1.0,0.0,0.0,0.0,Groundhog Day,14600000.0,Columbia Pictures Corporation,USA,Other,Comedy,PG,8.0,Other,485950,Other,en,52.7,70906973,101.0,1993,2,12,0,6.1
8,8,1.0,0.0,0.0,0.0,The King's Speech,15000000.0,Other,UK,Other,Biography,R,8.0,Other,547679,Other,en,54.1,414211549,118.0,2010,12,25,0,5.9
9,9,1.0,0.0,0.0,0.0,Her,23000000.0,Other,USA,Other,Drama,R,8.0,Other,408893,Other,en,53.7,47351251,126.0,2014,1,10,0,6.1
10,10,1.0,0.0,0.0,0.0,There Will Be Blood,25000000.0,Other,USA,Other,Drama,R,8.1,Other,413996,Other,en,37.8,77208711,158.0,2008,1,25,0,6.1
11,11,1.0,0.0,0.0,0.0,The Social Network,40000000.0,Columbia Pictures,USA,Other,Biography,PG-13,7.7,Other,525347,Other,en,69.3,224920315,120.0,2010,10,1,0,6.4
12,12,1.0,0.0,0.0,0.0,Dallas Buyers Club,5000000.0,Other,USA,Other,Biography,R,8.0,Other,365078,Other,en,59.5,55198285,117.0,2013,11,22,0,5.9
13,13,1.0,0.0,0.0,0.0,The Perks of Being a Wallflower,13000000.0,Other,USA,Other,Drama,PG-13,8.0,Other,389900,Other,en,43.4,33400000,102.0,2012,10,12,0,6.2
14,14,1.0,0.0,0.0,0.0,Ex Machina,15000000.0,Other,UK,Other,Drama,R,7.7,Other,360403,Other,en,95.1,36869414,108.0,2015,4,24,0,6.6
15,15,1.0,0.0,0.0,0.0,Silver Linings Playbook,21000000.0,Other,USA,Other,Comedy,R,7.8,Other,580255,Other,en,63.6,205738714,122.0,2012,12,25,0,6.1
16,16,1.0,0.0,0.0,0.0,Moon,5000000.0,Other,UK,Other,Drama,R,7.9,Other,285383,Other,en,46.1,9760104,97.0,2009,7,10,0,6.5
17,17,1.0,0.0,1.0,0.0,Drive,15000000.0,Other,USA,Other,Crime,R,7.8,Other,476626,Other,en,49.3,78054825,100.0,2011,9,16,0,5.9
18,18,1.0,0.0,0.0,0.0,Minority Report,102000000.0,Twentieth Century Fox Film Corporation,USA,Steven Spielberg,Action,PG-13,7.7,Tom Cruise,433187,Other,en,65.9,358372926,145.0,2002,6,21,0,6.0
19,19,1.0,0.0,0.0,0.0,Mystic River,25000000.0,Warner Bros.,USA,Clint Eastwood,Crime,R,8.0,Other,362888,Brian Helgeland,en,31.2,156822020,138.0,2003,10,15,0,6.1
20,20,1.0,0.0,0.0,0.0,Despicable Me,69000000.0,Universal Pictures,USA,Other,Animation,PG,7.7,Other,428668,Other,en,113.9,543513985,95.0,2010,7,9,0,6.0
21,21,1.0,0.0,0.0,0.0,Sin City,40000000.0,Other,USA,Other,Crime,R,8.0,Other,692725,Other,en,66.0,158733820,124.0,2005,4,1,0,5.9
22,22,1.0,0.0,0.0,0.0,The Theory of Everything,15000000.0,Other,UK,Other,Biography,PG-13,7.7,Other,313498,Other,en,61.2,123726688,123.0,2014,11,26,0,6.0
23,23,1.0,0.0,0.0,0.0,The Pursuit of Happyness,55000000.0,Columbia Pictures Corporation,USA,Other,Biography,PG-13,8.0,Other,371892,Other,en,80.6,307077295,117.0,2006,12,15,0,6.2
24,24,1.0,0.0,0.0,0.0,Scott Pilgrim vs. the World,60000000.0,Universal Pictures,USA,Other,Action,PG-13,7.5,Other,304155,Other,en,38.9,47664559,112.0,2010,8,13,0,6.1
25,25,1.0,0.0,0.0,0.0,Magnolia,37000000.0,Other,USA,Other,Drama,R,8.0,Tom Cruise,254596,Other,en,31.0,48451803,188.0,2000,1,7,0,6.1
26,26,1.0,0.0,0.0,0.0,The Hateful Eight,44000000.0,Other,USA,Other,Crime,R,7.8,Other,364294,Quentin Tarantino,en,68.7,155760117,167.0,2015,12,30,0,6.1
27,27,1.0,0.0,0.0,0.0,The Artist,15000000.0,Other,France,Other,Comedy,PG-13,7.9,Other,203869,Other,en,29.9,133432856,100.0,2012,1,20,0,6.7
28,28,1.0,0.0,0.0,0.0,Back to the Future Part II,40000000.0,Universal Pictures,USA,Robert Zemeckis,Adventure,PG,7.8,Other,381231,Other,en,43.3,332000000,108.0,1989,11,22,0,6.2
29,29,1.0,0.0,1.0,0.0,What's Eating Gilbert Grape,11000000.0,Paramount Pictures,USA,Other,Drama,PG-13,7.8,Johnny Depp,184488,Other,en,33.3,30000000,118.0,1994,3,4,0,6.4
30,30,1.0,0.0,0.0,0.0,The Curious Case of Benjamin Button,150000000.0,Warner Bros.,USA,Other,Drama,PG-13,7.8,Other,499260,Other,en,60.3,333932083,166.0,2008,12,25,0,6.8
31,31,1.0,0.0,0.0,0.0,Hugo,150000000.0,Paramount Pictures,USA,Martin Scorsese,Adventure,PG,7.5,Other,266328,Other,en,32.3,185770160,126.0,2011,11,23,0,6.3
32,32,1.0,0.0,0.0,0.0,As Good as It Gets,50000000.0,Other,USA,Other,Comedy,PG-13,7.7,Other,238943,Other,en,37.9,314178011,139.0,1997,12,25,0,6.3
33,33,1.0,0.0,0.0,0.0,Back to the Future Part III,40000000.0,Universal Pictures,USA,Robert Zemeckis,Adventure,PG,7.4,Other,319674,Other,en,45.8,244527583,118.0,1990,5,25,1,6.3
34,34,1.0,0.0,0.0,0.0,Road to Perdition,80000000.0,DreamWorks,USA,Other,Crime,R,7.7,Tom Hanks,215098,Other,en,49.1,181001478,117.0,2002,7,12,0,6.9
35,35,1.0,0.0,0.0,0.0,End of Watch,7000000.0,Other,USA,Other,Action,R,7.7,Other,197620,Other,en,49.5,48126384,109.0,2012,9,21,0,6.3
36,36,1.0,0.0,0.0,0.0,About Time,12000000.0,Other,UK,Other,Comedy,R,7.8,Other,230621,Other,en,74.8,87100449,123.0,2013,11,8,1,6.6
37,37,1.0,0.0,0.0,0.0,Kung Fu Hustle,20000000.0,Other,Other,Other,Action,R,7.8,Other,107714,Other,Other,13.7,100914445,99.0,2005,4,22,1,6.5
38,38,1.0,0.0,0.0,0.0,Mud,10000000.0,Other,USA,Other,Drama,PG-13,7.4,Other,147113,Other,en,17.7,21587700,130.0,2013,5,10,0,6.7
39,39,1.0,0.0,0.0,0.0,The Matrix Reloaded,150000000.0,Warner Bros.,USA,Other,Action,R,7.2,Other,450397,Other,en,70.8,738599701,138.0,2003,5,15,0,6.1
40,40,1.0,0.0,0.0,0.0,The Last Samurai,140000000.0,Warner Bros.,USA,Other,Action,R,7.7,Tom Cruise,342163,Other,en,52.3,456758981,154.0,2003,12,5,0,6.0
