budget_ds-movies,company,country,director,genre,gross,rating,score,star,votes,writer,year,keywords,original_language,overview,popularity,revenue,status,title,vote_average,vote_count,Ave_runtime,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Genres
16000000.0,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000.0,R,7.2,Christopher Lambert,104860,Gregory Widen,1986,"[{""id"": 242, ""name"": ""new york""}, {""id"": 388, ""name"": ""scotland""}, {""id"": 1400, ""name"": ""swordplay""}, {""id"": 1938, ""name"": ""sword""}, {""id"": 3963, ""name"": ""cut-off head""}, {""id"": 4978, ""name"": ""immortality""}]",en,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,29.253833,5900000,Released,Highlander,6.8,624,116.0,18+,7.1,69%,0,0,1,0,0,"Action,Adventure,Fantasy"
25000000.0,Paramount Pictures,USA,Michael Ritchie,Action,79817937.0,PG-13,5.9,Eddie Murphy,42997,Dennis Feldman,1986,"[{""id"": 345, ""name"": ""monk""}, {""id"": 2438, ""name"": ""social worker""}, {""id"": 4391, ""name"": ""wretch""}, {""id"": 4558, ""name"": ""tibet""}, {""id"": 15001, ""name"": ""demon""}, {""id"": 156075, ""name"": ""evil""}, {""id"": 156091, ""name"": ""missing person""}, {""id"": 161279, ""name"": ""mysticism""}, {""id"": 217083, ""name"": ""reluctant hero""}]",en,"A detective specializing in missing children is on a madcap mission to save a youth with mystical powers who's been abducted by an evil cult. He battles a band of super-nasties, scrambles through a booby-trapped chamber of horrors and traverses Tibet to obtain a sacred dagger.",15.262129999999999,79817939,Released,The Golden Child,5.6,304,94.0,13+,6.0,26%,0,0,1,0,0,"Action,Adventure,Comedy,Fantasy,Mystery"
16000000.0,Act III Communications,USA,Rob Reiner,Adventure,30857814.0,PG,8.1,Cary Elwes,320953,William Goldman,1987,"[{""id"": 157186, ""name"": ""swashbuckler""}, {""id"": 160350, ""name"": ""evil prince""}, {""id"": 160358, ""name"": ""reference to socrates""}, {""id"": 160359, ""name"": ""reference to plato""}, {""id"": 160362, ""name"": ""screwball""}, {""id"": 160364, ""name"": ""impersonation""}]",en,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",44.533612,30857814,Released,The Princess Bride,7.6,1486,98.0,7+,8.1,97%,0,0,0,1,0,"Adventure,Family,Fantasy,Romance"
1000000.0,Cinemarque Entertainment BV,UK,Clive Barker,Horror,14564027.0,R,7.0,Andrew Robinson,83209,Clive Barker,1987,"[{""id"": 1449, ""name"": ""underworld""}, {""id"": 3182, ""name"": ""seduction""}, {""id"": 6152, ""name"": ""supernatural""}, {""id"": 8377, ""name"": ""pinhead""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 10327, ""name"": ""undead""}, {""id"": 15001, ""name"": ""demon""}, {""id"": 17996, ""name"": ""puzzle box""}, {""id"": 155619, ""name"": ""attic""}, {""id"": 161208, ""name"": ""cenobites""}, {""id"": 191564, ""name"": ""body horror""}]",en,"Larry and his wife, Julia move into an old house and discover a hideous creature - the man's half-brother, who is also the woman's former lover - hiding upstairs. Having lost his earthly body to a trio of S&amp;M demons, the Cenobites, Frank, is brought back into existence by a drop of blood on the floor. He soon forces his former mistress to bring him his necessary human sacrifices to complete his body... but the Cenobites won't be happy about this.",22.583834,14564027,Released,Hellraiser,6.9,449,94.0,18+,7.0,70%,0,0,1,0,0,"Horror,Thriller"
6500000.0,Columbia Pictures Corporation,USA,Luis Valdez,Biography,54215416.0,PG-13,6.8,Lou Diamond Phillips,22839,Luis Valdez,1987,"[{""id"": 4344, ""name"": ""musical""}, {""id"": 34079, ""name"": ""death""}, {""id"": 164245, ""name"": ""dying young""}, {""id"": 164246, ""name"": ""nostalgic""}, {""id"": 164253, ""name"": ""mexican american""}, {""id"": 164255, ""name"": ""rising star""}, {""id"": 164263, ""name"": ""marital rape""}]",en,Biographical story of the rise from nowhere of singer Ritchie Valens whose life was cut short by a plane crash.,6.847099000000001,54215416,Released,La Bamba,6.8,116,108.0,13+,6.9,90%,1,0,0,0,0,"Biography,Drama,Music"
3500000.0,Laurel Entertainment Inc.,USA,Michael Gornick,Comedy,14000000.0,R,6.0,George Kennedy,17500,Stephen King,1987,"[{""id"": 1889, ""name"": ""lake""}, {""id"": 9706, ""name"": ""anthology""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10154, ""name"": ""blob""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 11546, ""name"": ""hitchhiker""}, {""id"": 12377, ""name"": ""zombie""}, {""id"": 163173, ""name"": ""hit and run""}, {""id"": 214544, ""name"": ""horror anthology""}]",en,"EC Comics-inspired weirdness returns with three tales. In the first, a wooden statue of a Native American comes to life...to exact vengeance on the murderer of his elderly owners. In the second, four teens are stranded on a raft on a lake with a blob that is hungry. And in the third, a hit and run woman is terrorized by the hitchhiker she accidentally killed...or did she really kill him?",10.729884,14000000,Released,Creepshow 2,5.9,129,92.0,18+,6.1,32%,0,0,1,0,0,"Fantasy,Horror"
3000000.0,Atlantic Entertainment Group,USA,Christopher Leitch,Comedy,7888703.0,PG,3.2,Jason Bateman,8905,Jeph Loeb,1987,"[{""id"": 12564, ""name"": ""werewolf""}, {""id"": 13130, ""name"": ""teenager""}]",en,"Although awkward college student Todd Howard is particularly adept at science, he's paying for school with an athletic scholarship that he will lose should he not fare well in an upcoming boxing tournament. Luckily for Todd, he has inherited the same family curse that once turned his cousin into a werewolf. As he transforms into the hairy, fanged, howling monster, he finds both his physical agility and his popularity skyrocketing -- but at what cost?",4.103764,0,Released,Teen Wolf Too,3.8,46,95.0,7+,3.4,7%,0,0,1,0,0,"Comedy,Fantasy"
100000.0,Conquering Unicorn,USA,Robert Townsend,Comedy,5228617.0,R,7.0,Robert Townsend,3009,Robert Townsend,1987,"[{""id"": 577, ""name"": ""black people""}, {""id"": 6325, ""name"": ""ethnic stereotype""}]",en,"Aspiring actor and hot-dog stand employee Bobby Taylor catches the ire of his grandmother for auditioning for a role in the regrettably titled exploitation film ""Jivetime Jimmy's Revenge."" When Tinseltown Studios casts Taylor in the title role, he has a series of conflicted dreams satirizing African-American stereotypes in Hollywood, and must reconcile his career goals with his desire to remain a positive role model for his little brother.",2.353483,0,Released,Hollywood Shuffle,5.7,19,78.0,18+,7.0,88%,0,0,1,0,0,Comedy
15000000.0,Great American Films Limited Partnership,USA,Michael Hoffman,Drama,316199.0,R,5.7,Jason Gedrick,1052,Michael Hoffman,1987,"[{""id"": 1415, ""name"": ""small town""}, {""id"": 3072, ""name"": ""campaign""}, {""id"": 10332, ""name"": ""salesman""}, {""id"": 17947, ""name"": ""farmland""}, {""id"": 194531, ""name"": ""natural gas""}, {""id"": 206044, ""name"": ""fracking""}]",en,"A salesman for a natural gas company experiences life-changing events after arriving in a small town, where his corporation wants to tap into the available resources.",13.568302,8138788,Released,Promised Land,6.0,243,104.0,18+,6.6,52%,1,0,0,0,0,Drama
15000000.0,Focus Features,USA,Gus Van Sant,Drama,7597898.0,R,6.6,Matt Damon,32248,John Krasinski,2012,"[{""id"": 1415, ""name"": ""small town""}, {""id"": 3072, ""name"": ""campaign""}, {""id"": 10332, ""name"": ""salesman""}, {""id"": 17947, ""name"": ""farmland""}, {""id"": 194531, ""name"": ""natural gas""}, {""id"": 206044, ""name"": ""fracking""}]",en,"A salesman for a natural gas company experiences life-changing events after arriving in a small town, where his corporation wants to tap into the available resources.",13.568302,8138788,Released,Promised Land,6.0,243,103.0,18+,6.6,52%,1,0,0,0,0,Drama
