budget_ds-movies,company,country,director,genre,gross,rating,score,star,votes,writer,original_language,popularity,revenue,title,Ave_runtime,release_year,release_month,recomendation,Netflix,Hulu,Prime Video,Disney+
8000000.0,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414.0,R,8.1,Other,300696,Stephen King,en,51.109279,52287414,Stand by Me,89.0,1986,8,2.0,0.0,0.0,0.0,0.0
15000000.0,Paramount Pictures,USA,Tony Scott,Action,179800601.0,PG,6.9,Tom Cruise,238607,Other,en,58.900647,356830601,Top Gun,110.0,1986,5,1.0,0.0,0.0,0.0,0.0
18500000.0,Twentieth Century Fox Film Corporation,USA,Other,Action,85160248.0,R,8.4,Other,543372,Other,en,67.66094,183316455,Aliens,137.0,1986,7,2.0,0.0,0.0,0.0,0.0
6000000.0,Other,UK,Oliver Stone,Drama,138530565.0,R,8.1,Other,318790,Other,en,49.802914,138530565,Platoon,120.0,1987,2,2.0,0.0,0.0,0.0,0.0
8800000.0,Other,Australia,Other,Adventure,174635000.0,PG-13,6.5,Other,79968,Other,en,16.072466,328203506,Crocodile Dundee,97.0,1986,9,1.0,0.0,0.0,0.0,0.0
16000000.0,Other,UK,Other,Action,5900000.0,R,7.2,Other,105484,Other,en,29.253833,5900000,Highlander,116.0,1986,3,2.0,0.0,0.0,1.0,0.0
25000000.0,Twentieth Century Fox Film Corporation,USA,Other,Action,11100000.0,PG-13,7.3,Other,102383,Other,en,29.796394,11000000,Big Trouble in Little China,99.0,1986,7,2.0,0.0,0.0,0.0,0.0
25000000.0,Other,USA,Other,Comedy,38747385.0,PG-13,6.9,Other,53711,Other,en,12.113235000000001,38748395,Little Shop of Horrors,94.0,1986,12,1.0,0.0,0.0,0.0,0.0
2700000.0,Other,USA,Other,Action,3500000.0,PG-13,5.9,Other,11743,Other,en,10.47644,3500000,The Wraith,93.0,1986,11,1.0,0.0,0.0,0.0,0.0
35000000.0,Universal Pictures,USA,Other,Action,16295774.0,PG,4.6,Other,36241,Other,en,11.374305999999999,37962774,Howard the Duck,110.0,1986,8,0.0,0.0,0.0,0.0,0.0
4700000.0,Other,USA,Other,Comedy,8025872.0,UNRATED,5.6,Other,21392,Other,en,9.617777,8025872,The Texas Chainsaw Massacre 2,95.0,1986,8,1.0,0.0,0.0,0.0,0.0
25000000.0,Paramount Pictures,USA,Other,Adventure,109713132.0,PG,7.3,Other,66843,Other,en,22.258428,133000000,Star Trek IV: The Voyage Home,119.0,1986,11,2.0,0.0,0.0,0.0,0.0
25000000.0,Paramount Pictures,USA,Other,Action,79817937.0,PG-13,5.9,Other,43301,Other,en,15.262129999999999,79817939,The Golden Child,94.0,1986,12,1.0,0.0,0.0,1.0,0.0
1900000.0,Other,USA,Other,Crime,4600000.0,R,7.1,Other,12921,Other,en,6.463806,0,River's Edge,99.0,1987,5,2.0,1.0,0.0,0.0,0.0
13800000.0,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982.0,R,7.0,Other,62786,Other,en,17.3393,52293982,The Color of Money,119.0,1986,10,2.0,0.0,0.0,0.0,0.0
18000000.0,Other,USA,Other,Comedy,41382841.0,PG-13,6.3,Other,28665,Other,en,12.243886999999999,41382841,Peggy Sue Got Married,103.0,1986,10,1.0,0.0,0.0,0.0,0.0
17000000.0,Metro Goldwyn Mayer,USA,Other,Action,38500726.0,R,6.5,Other,9675,Other,en,19.311572,9500000,Running Scared,114.5,1986,6,1.0,0.0,0.0,0.0,0.0
17000000.0,New Line Cinema,Germany,Other,Action,6855137.0,R,7.4,Other,91388,Other,en,19.311572,9500000,Running Scared,122.0,2006,2,2.0,0.0,0.0,0.0,0.0
12000000.0,Other,USA,Other,Horror,4884663.0,PG,5.5,Other,5935,Other,en,4.234269,4884663,Invaders from Mars,100.0,1986,6,1.0,0.0,0.0,0.0,0.0
12000000.0,Columbia Pictures Corporation,USA,Other,Drama,5839031.0,R,7.1,Other,11573,Other,en,6.7033190000000005,61141030,Crossroads,96.0,1986,3,2.0,0.0,0.0,0.0,0.0
12000000.0,Other,USA,Other,Comedy,37191304.0,PG-13,3.4,Other,35458,Other,en,6.7033190000000005,61141030,Crossroads,93.0,2002,2,0.0,0.0,0.0,0.0,0.0
15000000.0,Warner Bros.,USA,Other,Adventure,1953732.0,R,5.3,Other,5367,Other,en,5.484679,0,The Clan of the Cave Bear,98.0,1986,1,1.0,0.0,0.0,0.0,0.0
175000.0,Other,USA,Spike Lee,Comedy,7137502.0,R,6.6,Other,5282,Other,en,6.722213000000001,0,She's Gotta Have It,84.0,1986,8,1.0,0.0,0.0,0.0,0.0
5000000.0,Paramount Pictures,USA,Other,Horror,12947763.0,R,6.2,Other,11531,Other,en,8.190888000000001,0,April Fool's Day,89.0,1986,3,1.0,0.0,0.0,0.0,0.0
2000000.0,Other,UK,Other,Horror,7369373.0,R,5.7,Other,4802,Other,en,7.151153999999999,0,Witchboard,98.0,1987,3,1.0,0.0,0.0,0.0,0.0
40000000.0,Universal Pictures,USA,Other,Comedy,49851591.0,PG,5.9,Other,8425,Other,en,7.519433,0,Legal Eagles,116.0,1986,6,1.0,0.0,0.0,0.0,0.0
17000000.0,Other,UK,Other,Adventure,2315683.0,PG-13,3.1,Other,4354,Other,en,0.13856400000000002,0,Shanghai Surprise,97.0,1986,8,0.0,0.0,0.0,0.0,0.0
35000000.0,Miramax,USA,Other,Comedy,2669366.0,PG-13,4.5,Other,755,Other,en,17.932561,0,Playing for Keeps,104.0,1986,10,0.0,0.0,0.0,0.0,0.0
35000000.0,Other,USA,Other,Comedy,13101142.0,PG-13,5.7,Other,25965,Other,en,17.932561,0,Playing for Keeps,105.5,2012,12,1.0,0.0,0.0,0.0,0.0
40000000.0,Other,USA,Other,Action,2497233.0,R,5.5,Other,825,Other,en,24.012985999999998,91753202,Behind Enemy Lines,98.0,1986,4,1.0,0.0,0.0,0.0,0.0
40000000.0,Twentieth Century Fox Film Corporation,USA,Other,Action,59068786.0,PG-13,6.4,Other,91188,Other,en,24.012985999999998,91753202,Behind Enemy Lines,106.0,2001,11,1.0,0.0,0.0,0.0,0.0
16000000.0,Other,USA,Rob Reiner,Adventure,30857814.0,PG,8.1,Other,322439,Other,en,44.533612,30857814,The Princess Bride,98.0,1987,10,2.0,0.0,0.0,0.0,1.0
1000000.0,Other,UK,Other,Horror,14564027.0,R,7.0,Other,83658,Other,en,22.583834,14564027,Hellraiser,94.0,1987,9,2.0,0.0,0.0,1.0,0.0
